paper_id,doi,title,journal,year,pdf_file,status,pdf_url,bytes,reason
ETOH_001,10.1038/s41929-020-0450-0,Electrocatalytic reduction of CO2 to ethylene and ethanol through hydrogen-assisted C-C coupling over fluorine-modified copper,Nature Catalysis,2020,paper_pdf_folder/ETOH_001_10.1038_s41929-020-0450-0.pdf,not_downloaded,,,no_open_pdf_url_in_openalex; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1038/s41929-020-0450-0?email=literature-search%40example.com; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1038%2Fs41929-020-0450-0?email=literature-search%40example.com
ETOH_002,10.1021/acscatal.1c01486,Comprehensive Mechanism of CO2 Electroreduction toward Ethylene and Ethanol: The Solvent Effect from Explicit Water-Cu(100) Interface Models,ACS Catalysis,2021,paper_pdf_folder/ETOH_002_10.1021_acscatal.1c01486.pdf,not_downloaded,,,no_open_pdf_url_in_openalex; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1021/acscatal.1c01486?email=literature-search%40example.com; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1021%2Facscatal.1c01486?email=literature-search%40example.com
ETOH_003,10.31635/ccschem.021.202101557,Investigating Why Sulfurization Can Greatly Improve Ethanol Selectivity for Carbon Dioxide Electroreduction,CCS Chemistry,2021,paper_pdf_folder/ETOH_003_10.31635_ccschem.021.202101557.pdf,not_downloaded,,,no_open_pdf_url_in_openalex; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.31635/ccschem.021.202101557?email=literature-search%40example.com; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.31635%2Fccschem.021.202101557?email=literature-search%40example.com
ETOH_004,10.1038/s41467-021-20961-7,Morphology and mechanism of highly selective Cu(II) oxide nanosheet catalysts for carbon dioxide electroreduction,Nature Communications,2021,paper_pdf_folder/ETOH_004_10.1038_s41467-021-20961-7.pdf,downloaded,https://www.nature.com/articles/s41467-021-20961-7.pdf,3853743,
ETOH_005,10.1038/s41467-022-29035-8,Complementary Operando Spectroscopy identification of in-situ generated metastable charge-asymmetry Cu2-CuN3 clusters for CO2 reduction to ethanol,Nature Communications,2022,paper_pdf_folder/ETOH_005_10.1038_s41467-022-29035-8.pdf,downloaded,https://www.nature.com/articles/s41467-022-29035-8.pdf,3964372,
ETOH_006,10.1038/s41467-022-31427-9,Boosting electrocatalytic CO2-to-ethanol production via asymmetric C-C coupling,Nature Communications,2022,paper_pdf_folder/ETOH_006_10.1038_s41467-022-31427-9.pdf,downloaded,https://www.nature.com/articles/s41467-022-31427-9.pdf,3192306,
ETOH_007,10.1021/acscatal.2c03833,Operando Constructing Cu/Cu2O Electrocatalysts for Efficient CO2 Electroreduction to Ethanol: CO2-Assisted Structural Evolution of Octahedral Cu2O by Operando CV Activation,ACS Catalysis,2022,paper_pdf_folder/ETOH_007_10.1021_acscatal.2c03833.pdf,not_downloaded,,,no_open_pdf_url_in_openalex; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1021/acscatal.2c03833?email=literature-search%40example.com; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1021%2Facscatal.2c03833?email=literature-search%40example.com
ETOH_008,10.1007/s12274-022-4698-3,Confined interface engineering of self-supported Cu@N-doped graphene for electrocatalytic CO2 reduction with enhanced selectivity towards ethanol,Nano Research,2022,paper_pdf_folder/ETOH_008_10.1007_s12274-022-4698-3.pdf,not_downloaded,,,no_open_pdf_url_in_openalex; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1007/s12274-022-4698-3?email=literature-search%40example.com; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1007%2Fs12274-022-4698-3?email=literature-search%40example.com
ETOH_009,10.1038/s41560-023-01389-3,A tin-based tandem electrocatalyst for CO2 reduction to ethanol with 80% selectivity,Nature Energy,2023,paper_pdf_folder/ETOH_009_10.1038_s41560-023-01389-3.pdf,downloaded_fallback,https://www.researchsquare.com/article/rs-1924605/latest.pdf,937700,
ETOH_010,10.1038/s41467-023-36411-5,Weak CO binding sites induced by Cu-Ag interfaces promote CO electroreduction to multi-carbon liquid products,Nature Communications,2023,paper_pdf_folder/ETOH_010_10.1038_s41467-023-36411-5.pdf,downloaded,https://www.nature.com/articles/s41467-023-36411-5.pdf,2192760,
ETOH_011,10.1038/s41467-023-39351-2,Tunable CO2 electroreduction to ethanol and ethylene with controllable interfacial wettability,Nature Communications,2023,paper_pdf_folder/ETOH_011_10.1038_s41467-023-39351-2.pdf,downloaded,https://www.nature.com/articles/s41467-023-39351-2.pdf,1780435,
ETOH_012,10.1038/s41467-023-36926-x,Accelerating electrochemical CO2 reduction to multi-carbon products via asymmetric intermediate binding force,Nature Communications,2023,paper_pdf_folder/ETOH_012_10.1038_s41467-023-36926-x.pdf,downloaded,https://www.nature.com/articles/s41467-023-36926-x.pdf,2657297,
ETOH_013,10.1021/acscatal.3c03797,Selectivity of Electrochemical CO2 Reduction toward Ethanol and Ethylene: The Key Role of Surface-Active Hydrogen,ACS Catalysis,2023,paper_pdf_folder/ETOH_013_10.1021_acscatal.3c03797.pdf,not_downloaded,,,no_open_pdf_url_in_openalex; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1021/acscatal.3c03797?email=literature-search%40example.com; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1021%2Facscatal.3c03797?email=literature-search%40example.com
ETOH_014,10.1021/acscatal.3c00190,Competition of CO and Acetaldehyde Adsorption and Reduction on Copper Electrodes and Its Impact on n-Propanol Formation,ACS Catalysis,2023,paper_pdf_folder/ETOH_014_10.1021_acscatal.3c00190.pdf,downloaded,https://scholarlypublications.universiteitleiden.nl/access/item%3A3590038/view,4713787,
ETOH_015,10.1016/j.cej.2023.147204,CuAg bimetallic catalysts derived from an Ag-anchored Cu-based metal-organic framework for CO2 electroreduction to ethanol,Chemical Engineering Journal,2023,paper_pdf_folder/ETOH_015_10.1016_j.cej.2023.147204.pdf,not_downloaded,,,no_open_pdf_url_in_openalex; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1016/j.cej.2023.147204?email=literature-search%40example.com; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1016%2Fj.cej.2023.147204?email=literature-search%40example.com
ETOH_016,10.1038/s41560-024-01633-4,Key intermediates and Cu active sites for CO2 electroreduction to ethylene and ethanol,Nature Energy,2024,paper_pdf_folder/ETOH_016_10.1038_s41560-024-01633-4.pdf,downloaded,https://www.nature.com/articles/s41560-024-01633-4.pdf,2463454,
ETOH_017,10.1038/s41467-024-54636-w,Manipulating C-C coupling pathway in electrochemical CO2 reduction for selective ethylene and ethanol production over single-atom alloy catalyst,Nature Communications,2024,paper_pdf_folder/ETOH_017_10.1038_s41467-024-54636-w.pdf,downloaded,https://www.nature.com/articles/s41467-024-54636-w.pdf,2898855,
ETOH_018,10.1021/jacs.4c03830,Switching CO2 Electroreduction toward Ethanol by Delocalization State-Tuned Bond Cleavage,Journal of the American Chemical Society,2024,paper_pdf_folder/ETOH_018_10.1021_jacs.4c03830.pdf,not_downloaded,,,no_open_pdf_url_in_openalex; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1021/jacs.4c03830?email=literature-search%40example.com; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1021%2Fjacs.4c03830?email=literature-search%40example.com
ETOH_019,10.1021/acscatal.4c01579,Selective Electrosynthesis of Ethanol via Asymmetric C-C Coupling in Tandem CO2 Reduction,ACS Catalysis,2024,paper_pdf_folder/ETOH_019_10.1021_acscatal.4c01579.pdf,not_downloaded,,,no_open_pdf_url_in_openalex; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1021/acscatal.4c01579?email=literature-search%40example.com; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1021%2Facscatal.4c01579?email=literature-search%40example.com
ETOH_020,10.1002/adma.202410125,Ni-Electrocatalytic CO2 Reduction Toward Ethanol,Advanced Materials,2024,paper_pdf_folder/ETOH_020_10.1002_adma.202410125.pdf,not_downloaded,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202410125,,403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202410125; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1002/adma.202410125?email=literature-search%40example.com; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1002%2Fadma.202410125?email=literature-search%40example.com
ETOH_021,10.1002/anie.202409270,Metal-Organic Framework Supported Low-Nuclearity Cluster Catalysts for Highly Selective Carbon Dioxide Electroreduction to Ethanol,Angewandte Chemie International Edition,2024,paper_pdf_folder/ETOH_021_10.1002_anie.202409270.pdf,not_downloaded,,,no_open_pdf_url_in_openalex; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1002/anie.202409270?email=literature-search%40example.com; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1002%2Fanie.202409270?email=literature-search%40example.com
ETOH_022,10.1038/s44160-025-00868-7,Electrosynthesis of ethanol via CO-CHx cross-coupling on copper alloy catalysts with engineered oxygen affinity,Nature Synthesis,2025,paper_pdf_folder/ETOH_022_10.1038_s44160-025-00868-7.pdf,not_downloaded,,,no_open_pdf_url_in_openalex; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1038/s44160-025-00868-7?email=literature-search%40example.com; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1038%2Fs44160-025-00868-7?email=literature-search%40example.com
ETOH_023,10.1038/s41467-025-67176-8,Subsurface engineering for directional-selective CO2-to-ethanol electrocatalysis at industrial-level,Nature Communications,2025,paper_pdf_folder/ETOH_023_10.1038_s41467-025-67176-8.pdf,downloaded,https://www.nature.com/articles/s41467-025-67176-8_reference.pdf,1651449,
ETOH_024,10.1038/s41467-025-63009-w,A chelate to break diffusion limits on Helmholtz plane for CO2 electroreduction to ethanol,Nature Communications,2025,paper_pdf_folder/ETOH_024_10.1038_s41467-025-63009-w.pdf,downloaded,https://www.nature.com/articles/s41467-025-63009-w.pdf,3091867,
ETOH_025,10.1021/acscatal.5c06340,Regulating the Oxophilicity of Cu Sites on Cu-Sn Heterostructures to Ultrahigh Selective Electroreduction of CO2 to Ethanol,ACS Catalysis,2025,paper_pdf_folder/ETOH_025_10.1021_acscatal.5c06340.pdf,not_downloaded,,,no_open_pdf_url_in_openalex; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1021/acscatal.5c06340?email=literature-search%40example.com; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1021%2Facscatal.5c06340?email=literature-search%40example.com
ETOH_B2_001,10.1038/s41467-020-17690-8,Oxygen induced promotion of electrochemical reduction of CO2 via co-electrolysis,Nature Communications,2020,paper_pdf_folder/ETOH_B2_001_10.1038_s41467-020-17690-8.pdf,downloaded,https://www.nature.com/articles/s41467-020-17690-8.pdf,4270243,
ETOH_B2_002,10.1002/anie.202108902,High-Pressure CO Electroreduction at Silver Produces Ethanol and Propanol,Angewandte Chemie International Edition,2021,paper_pdf_folder/ETOH_B2_002_10.1002_anie.202108902.pdf,not_downloaded,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202108902,,403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202108902; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1002/anie.202108902?email=literature-search%40example.com; fallback_failed=403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202108902; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1002%2Fanie.202108902?email=literature-search%40example.com; fallback_failed=403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202108902
ETOH_B2_003,10.1002/anie.202017070,Operando Investigation of Ag-Decorated Cu2O Nanocube Catalysts with Enhanced CO2 Electroreduction toward Liquid Products,Angewandte Chemie International Edition,2021,paper_pdf_folder/ETOH_B2_003_10.1002_anie.202017070.pdf,downloaded_fallback,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202017070,2543497,
ETOH_B2_004,10.1021/jacs.1c03443,Selectivity Control of Cu Nanocrystals in a Gas-Fed Flow Cell through CO2 Pulsed Electroreduction,Journal of the American Chemical Society,2021,paper_pdf_folder/ETOH_B2_004_10.1021_jacs.1c03443.pdf,downloaded_fallback,https://pubs.acs.org/doi/pdf/10.1021/jacs.1c03443,8148772,
ETOH_B2_005,10.1038/s41467-021-27456-5,Improved electrochemical conversion of CO2 to multicarbon products by using molecular doping,Nature Communications,2021,paper_pdf_folder/ETOH_B2_005_10.1038_s41467-021-27456-5.pdf,downloaded,https://www.nature.com/articles/s41467-021-27456-5.pdf,5265731,
ETOH_B2_006,10.1038/s41467-020-20615-0,The nature of active sites for carbon dioxide electroreduction over oxide-derived copper catalysts,Nature Communications,2021,paper_pdf_folder/ETOH_B2_006_10.1038_s41467-020-20615-0.pdf,downloaded,https://www.nature.com/articles/s41467-020-20615-0.pdf,2519532,
ETOH_B2_007,10.1016/j.apcatb.2022.121681,Efficient electrocatalytic conversion of CO2 to ethanol enabled by imidazolium-functionalized ionomer confined molybdenum phosphide,Applied Catalysis B: Environmental,2022,paper_pdf_folder/ETOH_B2_007_10.1016_j.apcatb.2022.121681.pdf,downloaded,https://www.osti.gov/servlets/purl/2439556,2696458,
ETOH_B2_008,10.1021/acsnano.2c07138,Molecular Assembled Electrocatalyst for Highly Selective CO2 Fixation to C2+ Products,ACS Nano,2022,paper_pdf_folder/ETOH_B2_008_10.1021_acsnano.2c07138.pdf,not_downloaded,,,no_open_pdf_url_in_openalex; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1021/acsnano.2c07138?email=literature-search%40example.com; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1021%2Facsnano.2c07138?email=literature-search%40example.com
ETOH_B2_009,10.1021/acs.accounts.1c00650,Engineering Catalyst-Electrolyte Microenvironments to Optimize the Activity and Selectivity for the Electrochemical Reduction of CO2 on Cu and Ag,Accounts of Chemical Research,2022,paper_pdf_folder/ETOH_B2_009_10.1021_acs.accounts.1c00650.pdf,downloaded,https://www.osti.gov/servlets/purl/1877098,2372771,
ETOH_B2_010,10.1038/s41929-022-00760-z,Steering the structure and selectivity of CO2 electroreduction catalysts by potential pulses,Nature Catalysis,2022,paper_pdf_folder/ETOH_B2_010_10.1038_s41929-022-00760-z.pdf,downloaded,https://www.nature.com/articles/s41929-022-00760-z.pdf,2377497,
ETOH_B2_011,10.1038/s41467-022-32740-z,Electrocatalytic CO2 reduction to alcohols by modulating the molecular geometry and Cu coordination in bicentric copper complexes,Nature Communications,2022,paper_pdf_folder/ETOH_B2_011_10.1038_s41467-022-32740-z.pdf,downloaded,https://www.nature.com/articles/s41467-022-32740-z.pdf,3599576,
ETOH_B2_012,10.1038/s41467-022-29140-8,Trends in oxygenate/hydrocarbon selectivity for electrochemical CO2 reduction to C2 products,Nature Communications,2022,paper_pdf_folder/ETOH_B2_012_10.1038_s41467-022-29140-8.pdf,downloaded,https://www.nature.com/articles/s41467-022-29140-8.pdf,3352317,
ETOH_B2_013,10.1073/pnas.2218987120,Steering CO2 electroreduction pathway toward ethanol via surface-bounded hydroxyl species-induced noncovalent interaction,Proceedings of the National Academy of Sciences,2023,paper_pdf_folder/ETOH_B2_013_10.1073_pnas.2218987120.pdf,not_downloaded,https://pmc.ncbi.nlm.nih.gov/articles/PMC10089218/pdf/pnas.202218987.pdf,,403 Client Error: Forbidden for url: https://pmc.ncbi.nlm.nih.gov/articles/PMC10089218/pdf/pnas.202218987.pdf; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1073/pnas.2218987120?email=literature-search%40example.com; fallback_failed=403 Client Error: Forbidden for url: https://pnas.org/doi/10.1073/pnas.2218987120; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1073%2Fpnas.2218987120?email=literature-search%40example.com; fallback_failed=403 Client Error: Forbidden for url: https://pnas.org/doi/10.1073/pnas.2218987120
ETOH_B2_014,10.1002/smll.202303099,CeO2/CuS Nanoplates Electroreduce CO2 to Ethanol with Stabilized Cu+ Species,Small,2023,paper_pdf_folder/ETOH_B2_014_10.1002_smll.202303099.pdf,not_downloaded,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smll.202303099,,403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smll.202303099; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1002/smll.202303099?email=literature-search%40example.com; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1002%2Fsmll.202303099?email=literature-search%40example.com
ETOH_B2_015,10.1021/acscatal.3c01009,Mechanistic Insights into Aldehyde Production from Electrochemical CO2 Reduction on CuAg Alloy via Operando X-ray Measurements,ACS Catalysis,2023,paper_pdf_folder/ETOH_B2_015_10.1021_acscatal.3c01009.pdf,downloaded,https://www.osti.gov/servlets/purl/2001062,3976117,
ETOH_B2_016,10.1002/aenm.202402237,"Operando Investigation of the Origin of C-C Coupling in Electrochemical CO2 Reduction Upon Releasing Bonding Strength, Structural Ordering in Pd-Cu Catalyst",Advanced Energy Materials,2024,paper_pdf_folder/ETOH_B2_016_10.1002_aenm.202402237.pdf,not_downloaded,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202402237,,403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202402237; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1002/aenm.202402237?email=literature-search%40example.com; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1002%2Faenm.202402237?email=literature-search%40example.com
ETOH_B2_017,10.1038/s41467-024-49247-4,Low-coordinated copper facilitates the *CH2CO affinity at enhanced rectifying interface of Cu/Cu2O for efficient CO2-to-multicarbon alcohols conversion,Nature Communications,2024,paper_pdf_folder/ETOH_B2_017_10.1038_s41467-024-49247-4.pdf,downloaded,https://www.nature.com/articles/s41467-024-49247-4.pdf,3699992,
